Zdenčina;0.85,0.49;1.42,0.82;2.13,1.23;3.55,2.05;4.97,2.87;
Jastrebarsko;0.71,0.43;1.19,0.71;1.79,1.07;2.97,1.78;4.17,2.49;
Karlovac;0.68,0.1;1.13,0.17;1.69,0.26;2.83,0.43;3.95,0.6;
Novigrad;1.1,0.14;1.83,0.23;2.75,0.35;4.58,0.58;6.41,0.81;
Bosiljevo;0.98,0.57;1.64,0.95;2.46,1.42;4.1,2.38;5.74,3.33;
Vrbovsko;0.68,0.08;1.13,0.13;1.69,0.2;2.83,0.33;3.95,0.46;
Ravna;0.68,0.46;1.14,0.77;1.71,1.16;2.85,1.93;3.99,2.7;
Delnice;0.38,0.26;0.64,0.43;0.96,0.65;1.6,1.08;2.24,1.51;
Vrata;1.01,0.52;1.68,0.86;2.52,1.29;4.2,2.15;5.88,3.01;
Oštrovica;0.89,0.05;1.49,0.09;2.24,0.14;3.73,0.22;5.22,0.32;
Rijeka;0.34,0.35;0.56,0.59;0.84,0.89;1.4,1.48;1.96,2.07;
Ogulin;1.11,0.26;1.85,0.43;2.78,0.65;4.63,1.08;6.48,1.51;
Brinje;0.86,0.26;1.43,0.44;2.15,0.66;3.58,1.1;5.01,1.54;
Žuta;0.47,0.46;0.78,0.77;1.17,1.16;1.95,1.93;2.73,2.7;
Otočac;0.72,0.56;1.2,0.93;1.8,1.4;3.0,2.33;4.2,3.26;
Perušić;0.85,0.58;1.41,0.97;2.11,1.46;3.53,2.42;4.93,3.4;
Gospić;0.86,0.12;1.43,0.2;2.15,0.3;3.58,0.5;5.01,0.7;
Gornja;1.12,0.58;1.86,0.97;2.79,1.46;4.65,2.42;6.51,3.4;
Sveti;0.67,0.44;1.11,0.73;1.67,1.1;2.78,1.83;3.89,2.55;
Maslenica;0.91,0.22;1.51,0.36;2.27,0.54;3.78,0.9;5.29,1.26;
Posedarje;0.86,0.46;1.44,0.76;2.16,1.14;3.6,1.9;5.04,2.66;
Zadar Zapad;0.75,0.18;1.25,0.3;1.88,0.45;3.13,0.75;4.38,1.05;
Zadar Istok;0.38,0.5;0.63,0.83;0.95,1.24;1.58,2.07;2.21,2.91;
Benkovac;0.26,0.52;0.44,0.87;0.66,1.31;1.1,2.17;1.54,3.05;
Pirovac;0.83,0.1;1.39,0.16;2.09,0.24;3.47,0.4;4.86,0.56;
Skradin;0.8,0.5;1.33,0.83;2.0,1.24;3.33,2.07;4.66,2.91;
Šibenik;0.4,0.2;0.66,0.33;0.99,0.5;1.65,0.83;2.31,1.16;
Vrpolje;0.64,0.57;1.06,0.95;1.59,1.42;2.65,2.38;3.71,3.33;
Prgomet;0.31,0.07;0.52,0.12;0.78,0.18;1.3,0.3;1.82,0.42;
Vučevica;0.43,0.3;0.72,0.5;1.08,0.75;1.8,1.25;2.52,1.75;
Dugopolje;0.83,0.17;1.38,0.29;2.07,0.43;3.45,0.73;4.83,1.01;
Bisko;0.55,0.35;0.92,0.59;1.38,0.89;2.3,1.48;3.22,2.07;
Blato;0.78,0.29;1.3,0.48;1.95,0.72;3.25,1.2;4.55,1.68;
Šestanovac;0.17,0.31;0.28,0.52;0.42,0.78;0.7,1.3;0.98,1.82;
Zagvozd;0.03,0.12;0.05,0.2;0.08,0.3;0.13,0.5;0.18,0.7;
Ravča;0.08,0.2;0.14,0.34;0.21,0.51;0.35,0.85;0.49,1.19;
Vrgorac;0.59,0.42;0.99,0.7;1.49,1.05;2.48,1.75;3.47,2.45;
Karamatići;0.51,0.41;0.85,0.68;1.27,1.02;2.13,1.7;2.98,2.38;
Čarapine;0.72,0.05;1.2,0.09;1.8,0.14;3.0,0.22;4.2,0.32;
